items,Q2 2022,Q3 2022,Q4 2022,Q1 2023,ticker
Cash and Short Term Invs,"4,255","4,634","5,200","4,950",FOX
"Total Receivables, Net","2,952","2,338","2,128","2,268",FOX
Total Inventory,"1,148",786,791,"1,020",FOX
"Other Curr. Assets, Total",159,158,162,257,FOX
Total Current Assets,"8,514","7,916","8,281","8,495",FOX
Prop./Plant/Equip. - Net,"2,126","2,100","2,159","2,134",FOX
"Goodwill, Net","3,565","3,560","3,554","3,550",FOX
Intangibles - Net,"3,198","3,176","3,157","3,135",FOX
Long Term Investments,831,648,578,649,FOX
Other Long Term Assets,969,997,"1,016","1,127",FOX
Total Assets,"22,878","22,016","22,185","22,424",FOX
Accounts Payable,771,766,686,727,FOX
Accrued Expenses,955,969,"1,099",931,FOX
Notes Payable/ST Debt,0,0,0,0,FOX
Curr. Port. LT Dbt/Cap Ls.,750,0,0,--,FOX
Customer Advances,163,165,209,282,FOX
Other Current Liabilities,231,221,302,422,FOX
"Other Curr. Lblts, Total",394,386,511,704,FOX
Total Current Liabilities,"2,870","2,121","2,296","2,362",FOX
Total Long Term Debt,"7,204","7,205","7,206","7,207",FOX
Total Debt,"7,954","7,205","7,206","7,207",FOX
Minority Interest,187,193,224,257,FOX
Pension Benefits - Underfunded,560,544,447,441,FOX
Other LT Liabilities,782,753,673,636,FOX
"Other Liabilities, Total","1,342","1,297","1,120","1,077",FOX
Total Liabilities,"11,603","10,816","10,846","10,903",FOX
Common Stock,6,6,6,5,FOX
Additional Paid-In Capital,"9,265","9,195","9,098","8,949",FOX
Ret. Earn.(Accum. Deficit),"2,308","2,300","2,461","2,795",FOX
"Other Equity, Total",(304),(301),(226),(228),FOX
Total Equity,"11,275","11,200","11,339","11,521",FOX
Total Liabilities & Shareholders’ Equity,"22,878","22,016","22,185","22,424",FOX
Shr Outs.-Com. Primary Iss.,317,313,307,304,FOX
Shr Outs.-Com. Stk. Iss. 2,248,246,243,241,FOX
Ttl Comm. Shares Outs.,564,558,551,544,FOX
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,FOX
Trsy. Shrs-Comm. Iss. 2,0,0,0,0,FOX
